id,name,lat,lon
126,160,4,
42,160,6,
131,160,11,
329,160,3,
332,160,1,
335,160,10,
71,160,2,
126,173,1,
33,243,2,
175,274,1,
115,274,1,
34,320,1,
287,6,1,
34,83,1,
126,85,5,
63,85,1,
42,85,1,
212,85,1,
131,123,1,
63,160,2,
30,160,1,
131,160,3,
335,160,4,
42,160,4,
332,160,1,
239,160,2,
329,160,2,
29,258,1,
33,301,1,
72,31,1,
42,84,1,
126,85,3,
63,85,2,
126,112,1,
30,160,1,
131,160,3,
329,160,4,
42,160,3,
126,160,2,
39,173,1,
332,244,1,
126,301,1,
335,302,1,
113,31,1,
131,31,1,
126,85,4,
329,85,2,
131,85,2,
30,85,1,
335,85,1,
42,85,1,
61,173,1,
126,215,1,
126,234,1,
126,301,2,
41,302,1,
186,302,1,
126,6,1,
126,85,4,
33,85,1,
335,85,2,
42,85,1,
126,179,1,
126,219,1,
93,258,1,
71,301,1,
186,320,1,
335,44,1,
126,83,1,
335,85,1,
175,85,1,
126,85,3,
131,85,1,
57,85,1,
42,85,2,
239,123,1,
63,123,1,
131,215,1,
42,229,1,
42,256,1,
93,258,1,
29,258,2,
126,301,1,
148,320,1,
335,320,1,
34,6,1,
335,44,1,
239,83,1,
148,85,1,
329,85,1,
126,85,4,
71,123,1,
131,123,1,
42,142,1,
329,160,1,
175,160,1,
71,160,1,
131,215,1,
126,219,1,
71,232,1,
286,256,1,
175,256,1,
20,256,1,
148,256,1,
335,256,2,
25,336,1,
131,6,1,
71,6,1,
72,31,1,
335,44,1,
335,85,1,
71,85,1,
329,85,1,
87,116,1,
63,123,1,
42,123,2,
63,142,1,
63,160,2,
335,160,4,
30,160,1,
42,160,4,
131,160,1,
329,160,1,
71,215,1,
175,229,1,
286,229,1,
126,232,1,
332,256,1,
335,256,1,
131,256,1,
286,256,1,
126,301,1,
71,301,1,
72,302,1,
329,320,1,
42,320,1,
329,6,1,
87,31,1,
42,52,1,
71,85,1,
42,85,1,
329,85,1,
126,85,2,
131,141,1,
126,142,1,
329,142,3,
63,142,2,
42,160,2,
126,160,1,
239,160,1,
335,160,2,
329,160,1,
71,160,2,
332,160,2,
131,160,3,
30,160,1,
